"id","NUTS_ID","CNTR_CODE","NAME_LATN","NUTS_NAME"
"FRB0","FRB0","FR","Centre — Val de Loire","Centre — Val de Loire"
"CZ04","CZ04","CZ","Severozápad","Severozápad"
"CZ07","CZ07","CZ","Střední Morava","Střední Morava"
"DK02","DK02","DK","Sjælland","Sjælland"
"ES12","ES12","ES","Principado de Asturias","Principado de Asturias"
"AL01","AL01","AL","Veri","Veri"
"BE34","BE34","BE","Prov. Luxembourg (BE)","Prov. Luxembourg (BE)"
"ES24","ES24","ES","Aragón","Aragón"
"ES30","ES30","ES","Comunidad de Madrid","Comunidad de Madrid"
"AT31","AT31","AT","Oberösterreich","Oberösterreich"
"BG31","BG31","BG","Severozapaden","Северозападен"
"DE22","DE22","DE","Niederbayern","Niederbayern"
"DE11","DE11","DE","Stuttgart","Stuttgart"
"BE35","BE35","BE","Prov. Namur","Prov. Namur"
"ES51","ES51","ES","Cataluña","Cataluña"
"ES23","ES23","ES","La Rioja","La Rioja"
"DE12","DE12","DE","Karlsruhe","Karlsruhe"
"AL03","AL03","AL","Jug","Jug"
"CH06","CH06","CH","Zentralschweiz","Zentralschweiz"
"BG32","BG32","BG","Severen tsentralen","Северен централен"
"BE33","BE33","BE","Prov. Liège","Prov. Liège"
"CH02","CH02","CH","Espace Mittelland","Espace Mittelland"
"CH03","CH03","CH","Nordwestschweiz","Nordwestschweiz"
"CH01","CH01","CH","Région lémanique","Région lémanique"
"BE24","BE24","BE","Prov. Vlaams-Brabant","Prov. Vlaams-Brabant"
"BG33","BG33","BG","Severoiztochen","Североизточен"
"CH04","CH04","CH","Zürich","Zürich"
"CH05","CH05","CH","Ostschweiz","Ostschweiz"
"DE14","DE14","DE","Tübingen","Tübingen"
"CZ02","CZ02","CZ","Střední Čechy","Střední Čechy"
"BE25","BE25","BE","Prov. West-Vlaanderen","Prov. West-Vlaanderen"
"CZ06","CZ06","CZ","Jihovýchod","Jihovýchod"
"CH07","CH07","CH","Ticino","Ticino"
"AT12","AT12","AT","Niederösterreich","Niederösterreich"
"DE13","DE13","DE","Freiburg","Freiburg"
"CZ03","CZ03","CZ","Jihozápad","Jihozápad"
"CY00","CY00","CY","Kýpros","Κ�π�ος"
"CZ01","CZ01","CZ","Praha","Praha"
"BG34","BG34","BG","Yugoiztochen","Югоизточен"
"AT11","AT11","AT","Burgenland","Burgenland"
"AT34","AT34","AT","Vorarlberg","Vorarlberg"
"BE10","BE10","BE","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest"
"BE21","BE21","BE","Prov. Antwerpen","Prov. Antwerpen"
"BG42","BG42","BG","Yuzhen tsentralen","Южен централен"
"AT22","AT22","AT","Steiermark","Steiermark"
"AT13","AT13","AT","Wien","Wien"
"BE31","BE31","BE","Prov. Brabant Wallon","Prov. Brabant Wallon"
"BE22","BE22","BE","Prov. Limburg (BE)","Prov. Limburg (BE)"
"AT21","AT21","AT","Kärnten","Kärnten"
"AL02","AL02","AL","Qender","Qender"
"BE23","BE23","BE","Prov. Oost-Vlaanderen","Prov. Oost-Vlaanderen"
"DE21","DE21","DE","Oberbayern","Oberbayern"
"BG41","BG41","BG","Yugozapaden","Югозападен"
"CZ08","CZ08","CZ","Moravskoslezsko","Moravskoslezsko"
"CZ05","CZ05","CZ","Severovýchod","Severovýchod"
"AT32","AT32","AT","Salzburg","Salzburg"
"ES53","ES53","ES","Illes Balears","Illes Balears"
"AT33","AT33","AT","Tirol","Tirol"
"BE32","BE32","BE","Prov. Hainaut","Prov. Hainaut"
"DE26","DE26","DE","Unterfranken","Unterfranken"
"NL22","NL22","NL","Gelderland","Gelderland"
"PT11","PT11","PT","Norte","Norte"
"EL62","EL62","EL","Ionia Nisia","Ιόνια �ησιά"
"EL63","EL63","EL","Dytiki Elláda","Δυτική Ελλάδα"
"EE00","EE00","EE","Eesti","Eesti"
"EL41","EL41","EL","Voreio Aigaio","Βό�ειο Αιγαίο"
"EL42","EL42","EL","Notio Aigaio","�ότιο Αιγαίο"
"PT20","PT20","PT","Região Autónoma dos Açores","Região Autónoma dos Açores"
"PT30","PT30","PT","Região Autónoma da Madeira","Região Autónoma da Madeira"
"PL81","PL81","PL","Lubelskie","Lubelskie"
"DE24","DE24","DE","Oberfranken","Oberfranken"
"EL51","EL51","EL","Anatoliki Makedonia, Thraki","Aνατολική Μακεδονία, Θ�άκη"
"DE93","DE93","DE","Lüneburg","Lüneburg"
"ITI4","ITI4","IT","Lazio","Lazio"
"DE94","DE94","DE","Weser-Ems","Weser-Ems"
"DK04","DK04","DK","Midtjylland","Midtjylland"
"EL30","EL30","EL","Attiki","Aττική"
"DE72","DE72","DE","Gießen","Gießen"
"EL61","EL61","EL","Thessalia","Θεσσαλία"
"DEA5","DEA5","DE","Arnsberg","Arnsberg"
"DE80","DE80","DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern"
"DK05","DK05","DK","Nordjylland","Nordjylland"
"DEB2","DEB2","DE","Trier","Trier"
"EL65","EL65","EL","Peloponnisos","Πελοπόννησος"
"DE91","DE91","DE","Braunschweig","Braunschweig"
"EL43","EL43","EL","Kriti","Κ�ήτη"
"DE27","DE27","DE","Schwaben","Schwaben"
"DE71","DE71","DE","Darmstadt","Darmstadt"
"EL52","EL52","EL","Kentriki Makedonia","Κεντ�ική Μακεδονία"
"DEA3","DEA3","DE","Münster","Münster"
"ITH2","ITH2","IT","Provincia Autonoma di Trento","Provincia Autonoma di Trento"
"DE92","DE92","DE","Hannover","Hannover"
"PL21","PL21","PL","Małopolskie","Małopolskie"
"DE73","DE73","DE","Kassel","Kassel"
"ITH3","ITH3","IT","Veneto","Veneto"
"DEB1","DEB1","DE","Koblenz","Koblenz"
