"ADM0_NAME","ADM0_CODE","EPPO_ADM","Shape_Area"
"Anguilla",9,"Anguilla",0.001726
"Indonesia",116,"Indonesia",153.794891
"Japan",126,"Japan-Japan",38.1809703
"Malaysia",153,"Malaysia",26.8571264
"India",115,"India-Andhra Pradesh",1.6118757
"India",115,"India-Telangana",1.3786483
"Indonesia",116,"Indonesia-Kalimantan",11.9682752
"Malaysia",153,"Malaysia-Sarawak",10.0814367
"Malaysia",153,"Malaysia-Sabah",6.0329622
"Malaysia",153,"Malaysia-West",1.5589054
"United Kingdom",256,"United Kingdom-England",17.3011176
"United Kingdom",256,"United Kingdom-Northern Ireland",1.9693834
"United Kingdom",256,"United Kingdom-Scotland",11.5929283
"United Kingdom",256,"United Kingdom-Wales",2.7599952
"Indonesia",116,"Indonesia-Irian Jaya",7.8890247
"Indonesia",116,"Indonesia-Java",0.4641311
"Indonesia",116,"Indonesia-Maluku",3.04973
"Indonesia",116,"Indonesia-Nusa Tenggara",0.1892989
"Indonesia",116,"Indonesia-Sulawesi",4.9668406
"Indonesia",116,"Indonesia-Sumatra",0.2290858
"Japan",126,"Japan-Hokkaido",8.7420511
"Japan",126,"Japan-Honshu",0.5049235
"Japan",126,"Japan-Kyushu",0.4772132
"Japan",126,"Japan-Ryukyu Archipelago",0.2011937
"Japan",126,"Japan-Shikoku",0.5485329
"Russia",204,"Russia-Central Russia",19.7174327
"Russia",204,"Russia-Eastern Siberia",2.5168585
"Russia",204,"Russia-Far East",48.807413
"Russia",204,"Russia-Northern Russia",55.1915427
"Russia",204,"Russia-Southern Russia",0.9035465
"Russia",204,"Russia-Western Siberia",11.7620192
"Mozambique",170,"Mozambique",67.0589393
"Mauritius",160,"Mauritius",0.1739921
"Malawi",152,"Malawi",9.9055668
"Mayotte",161,"Mayotte",0.0314987
"Rwanda",205,"Rwanda",2.0638524
"Somalia",226,"Somalia",51.7666118
"Zambia",270,"Zambia",62.7442808
"Kenya",133,"Kenya",47.3457704
"Madagascar",150,"Madagascar",50.7177603
"Reunion",206,"Reunion",0.2177527
"South Sudan",74,"South Sudan",51.5991664
"Seychelles",220,"Seychelles",0.0408918
"Tanzania",257,"Tanzania",76.8602655
"Uganda",253,"Uganda",19.6296736
"Zimbabwe",271,"Zimbabwe",33.5306895
"Ilemi triangle",61013,"Ilemi triangle",0.2590982
"Ethiopia",79,"Ethiopia",92.8692584
"Eritrea",77,"Eritrea",10.1679578
"Djibouti",70,"Djibouti",1.797112
"Comoros",58,"Comoros",0.1370478
"Burundi",43,"Burundi",2.1856517
"Gabon",89,"Gabon",21.4566844
"Equatorial Guinea",76,"Equatorial Guinea",2.1945653
"Chad",50,"Chad",106.6902005
"Sao Tome & Principe",214,"Sao Tome & Principe",0.0805058
"Congo",59,"Congo",27.6957881
"Congo, Democratic republic of the",68,"Congo, Democratic republic of the",189.9981073
"Cameroon",45,"Cameroon",38.0226767
"Central African Republic",49,"Central African Republic",50.680325
"Angola",8,"Angola",103.7558552
"Morocco",169,"Morocco",39.4713558
"Hala'ib triangle",40760,"Hala'ib triangle",1.561432
"Libya",145,"Libya",147.6465751
"Ma'tan al-Sarra",40762,"Ma'tan al-Sarra",0.1739189
"Sudan",6,"Sudan",155.8888017
"Tunisia",248,"Tunisia",15.1682325
"Western Sahara",268,"Western Sahara",23.9705798
"Egypt",40765,"Egypt",89.0791134
"Algeria",4,"Algeria",212.6930968
"Abyei",102,"Abyei",0.8189485
"Namibia",172,"Namibia",72.245525
"Eswatini",235,"Eswatini",1.5662385
"Lesotho",142,"Lesotho",2.8356674
"South Africa",227,"South Africa",113.1316266
"Botswana",35,"Botswana",50.6723842
"Saint Helena",207,"Saint Helena",0.0367684
"Togo",243,"Togo",4.6632373
"Sierra Leone",221,"Sierra Leone",5.9370449
"Senegal",217,"Senegal",16.4429069
"Nigeria",182,"Nigeria",74.9245897
"Niger",181,"Niger",100.679977
"Mauritania",159,"Mauritania",89.90863
"Mali",155,"Mali",106.5771976
"Liberia",144,"Liberia",7.8568664
"Guinea-Bissau",105,"Guinea-Bissau",2.5520957
"Gambia",90,"Gambia",0.9350799
"Guinea",106,"Guinea",20.0708618
"Ghana",94,"Ghana",19.5958913
"Cape Verde",47,"Cape Verde",0.3424116
NA,66,"Cote d'Ivoire",26.3759875
"Burkina Faso",42,"Burkina Faso",22.7119697
"Benin",29,"Benin",9.4972047
"Dominica",71,"Dominica",0.0632262
"Dominican Republic",72,"Dominican Republic",4.12448
"Martinique",158,"Martinique",0.0925914
"Cayman Islands",48,"Cayman Islands",0.0230982
"Netherlands Antilles",176,"Netherlands Antilles",0.0657528
"Antigua and Barbuda",11,"Antigua and Barbuda",0.038453
"Cuba",63,"Cuba",9.6723845
"Grenada",99,"Grenada",0.0264331
"Jamaica",123,"Jamaica",0.9362473
"St Kitts-Nevis",208,"St Kitts-Nevis",0.0223027
"Montserrat",168,"Montserrat",0.0085776
"Turks and Caicos islands",251,"Turks and Caicos islands",0.0462392
"Trinidad and Tobago",246,"Trinidad and Tobago",0.42477
"Bahamas",20,"Bahamas",1.058404
"Saint Lucia",209,"Saint Lucia",0.0504101
