"ADM2_CODE","ADM2_NAME","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Area","Continent"
40621,"Ryansoro",40548,"Gitega","Member State","NO",43,"Burundi",0.0133134,"Africa"
40667,"Ndava",40555,"Mwaro","Member State","NO",43,"Burundi",0.0136846,"Africa"
40593,"Buyengero",40545,"Bururi","Member State","NO",43,"Burundi",0.0167529,"Africa"
40580,"Bugarama",40544,"Bujumbura Rural","Member State","NO",43,"Burundi",0.0105625,"Africa"
40590,"Administrative unit not available",40545,"Bururi","Member State","NO",43,"Burundi",0.0623329,"Africa"
40591,"Burambi",40545,"Bururi","Member State","NO",43,"Burundi",0.0222362,"Africa"
40753,"Kanyosha1",40544,"Bujumbura Rural","Member State","NO",43,"Burundi",0.0063983,"Africa"
40582,"Kabezi",40544,"Bujumbura Rural","Member State","NO",43,"Burundi",0.0058455,"Africa"
40586,"Muhuta",40544,"Bujumbura Rural","Member State","NO",43,"Burundi",0.0105434,"Africa"
40755,"Mukike",40544,"Bujumbura Rural","Member State","NO",43,"Burundi",0.0115421,"Africa"
40756,"Mutambu",40544,"Bujumbura Rural","Member State","NO",43,"Burundi",0.0065853,"Africa"
40757,"Nyabiraba",40544,"Bujumbura Rural","Member State","NO",43,"Burundi",0.0063848,"Africa"
40592,"Bururi",40545,"Bururi","Member State","NO",43,"Burundi",0.0313582,"Africa"
40651,"Vugizo",40552,"Makamba","Member State","NO",43,"Burundi",0.0180999,"Africa"
40599,"Vyanda",40545,"Bururi","Member State","NO",43,"Burundi",0.0180244,"Africa"
40669,"Rusaka",40555,"Mwaro","Member State","NO",43,"Burundi",0.0131582,"Africa"
40595,"Mugamba",40545,"Bururi","Member State","NO",43,"Burundi",0.0234635,"Africa"
40598,"Songa",40545,"Bururi","Member State","NO",43,"Burundi",0.017954,"Africa"
40754,"Mugongomanga",40544,"Bujumbura Rural","Member State","NO",43,"Burundi",0.009064,"Africa"
40665,"Gisozi",40555,"Mwaro","Member State","NO",43,"Burundi",0.0095608,"Africa"
40664,"Bisoro",40555,"Mwaro","Member State","NO",43,"Burundi",0.0100685,"Africa"
40594,"Matana",40545,"Bururi","Member State","NO",43,"Burundi",0.0164877,"Africa"
40666,"Kayokwe",40555,"Mwaro","Member State","NO",43,"Burundi",0.0091293,"Africa"
40561,"Mpanda",40542,"Bubanza","Member State","NO",43,"Burundi",0.0095049,"Africa"
40609,"Murwi",40547,"Cibitoke","Member State","NO",43,"Burundi",0.0202379,"Africa"
40559,"Bubanza",40542,"Bubanza","Member State","NO",43,"Burundi",0.0179082,"Africa"
40637,"Rango",40550,"Kayanza","Member State","NO",43,"Burundi",0.014141,"Africa"
40652,"Bukeye",40553,"Muramvya","Member State","NO",43,"Burundi",0.0139837,"Africa"
40655,"Muramvya",40553,"Muramvya","Member State","NO",43,"Burundi",0.0155355,"Africa"
40581,"Isale",40544,"Bujumbura Rural","Member State","NO",43,"Burundi",0.0087929,"Africa"
40563,"Rugazi",40542,"Bubanza","Member State","NO",43,"Burundi",0.0123345,"Africa"
40584,"Mubimbi",40544,"Bujumbura Rural","Member State","NO",43,"Burundi",0.0056428,"Africa"
40656,"Rutegama",40553,"Muramvya","Member State","NO",43,"Burundi",0.0064344,"Africa"
40653,"Kiganda",40553,"Muramvya","Member State","NO",43,"Burundi",0.0087042,"Africa"
40654,"Mbuye",40553,"Muramvya","Member State","NO",43,"Burundi",0.0095004,"Africa"
40630,"Gahombo",40550,"Kayanza","Member State","NO",43,"Burundi",0.0063569,"Africa"
40631,"Gatara",40550,"Kayanza","Member State","NO",43,"Burundi",0.0083222,"Africa"
40629,"Butaganzwa",40550,"Kayanza","Member State","NO",43,"Burundi",0.0081357,"Africa"
40633,"Kayanza",40550,"Kayanza","Member State","NO",43,"Burundi",0.009642,"Africa"
40611,"Bugendana",40548,"Gitega","Member State","NO",43,"Burundi",0.0219426,"Africa"
40683,"Musongati",40557,"Rutana","Member State","NO",43,"Burundi",0.0198869,"Africa"
40684,"Rutana",40557,"Rutana","Member State","NO",43,"Burundi",0.0211223,"Africa"
40681,"Gitanga",40557,"Rutana","Member State","NO",43,"Burundi",0.0219081,"Africa"
40649,"Makamba",40552,"Makamba","Member State","NO",43,"Burundi",0.0247706,"Africa"
40597,"Rutovu",40545,"Bururi","Member State","NO",43,"Burundi",0.0228684,"Africa"
40613,"Buraza",40548,"Gitega","Member State","NO",43,"Burundi",0.0120124,"Africa"
40620,"Nyanrusange",40548,"Gitega","Member State","NO",43,"Burundi",0.0094667,"Africa"
40615,"Gishubi",40548,"Gitega","Member State","NO",43,"Burundi",0.0108196,"Africa"
40668,"Nyabihanga",40555,"Mwaro","Member State","NO",43,"Burundi",0.011202,"Africa"
40614,"Giheta",40548,"Gitega","Member State","NO",43,"Burundi",0.0123895,"Africa"
40617,"Itaba",40548,"Gitega","Member State","NO",43,"Burundi",0.0174384,"Africa"
40612,"Bukirasazi",40548,"Gitega","Member State","NO",43,"Burundi",0.006703,"Africa"
40616,"Gitega",40548,"Gitega","Member State","NO",43,"Burundi",0.0245711,"Africa"
40618,"Makebuko",40548,"Gitega","Member State","NO",43,"Burundi",0.013802,"Africa"
40685,"Butaganzwa1",40558,"Ruyigi","Member State","NO",43,"Burundi",0.0273802,"Africa"
40682,"Mpinga-Kayove",40557,"Rutana","Member State","NO",43,"Burundi",0.0234722,"Africa"
40690,"Nyabitsinda",40558,"Ruyigi","Member State","NO",43,"Burundi",0.017855,"Africa"
40691,"Ruyigi",40558,"Ruyigi","Member State","NO",43,"Burundi",0.0221136,"Africa"
40628,"Shombo",40549,"Karuzi","Member State","NO",43,"Burundi",0.0134041,"Africa"
40686,"Butezi",40558,"Ruyigi","Member State","NO",43,"Burundi",0.0255447,"Africa"
40627,"Nyabikere",40549,"Karuzi","Member State","NO",43,"Burundi",0.0151239,"Africa"
40687,"Bweru",40558,"Ruyigi","Member State","NO",43,"Burundi",0.0260434,"Africa"
40625,"Gitaramuka",40549,"Karuzi","Member State","NO",43,"Burundi",0.0167348,"Africa"
40671,"Gashikanwa",40556,"Ngozi","Member State","NO",43,"Burundi",0.0105087,"Africa"
40619,"Mutaho",40548,"Gitega","Member State","NO",43,"Burundi",0.0120185,"Africa"
40635,"Muhanga",40550,"Kayanza","Member State","NO",43,"Burundi",0.0098009,"Africa"
40675,"Ngozi",40556,"Ngozi","Member State","NO",43,"Burundi",0.0146792,"Africa"
40622,"Bugenyuzi",40549,"Karuzi","Member State","NO",43,"Burundi",0.01797,"Africa"
40624,"Gihogazi",40549,"Karuzi","Member State","NO",43,"Burundi",0.0160261,"Africa"
40677,"Ruhororo",40556,"Ngozi","Member State","NO",43,"Burundi",0.0129602,"Africa"
40678,"Tangara",40556,"Ngozi","Member State","NO",43,"Burundi",0.0165136,"Africa"
40644,"Vumbi",40551,"Kirundo","Member State","NO",43,"Burundi",0.0158068,"Africa"
