"Continent","Country","State","Status","KG.EPPO"
"America","Canada","Alberta","Present, no details","Alberta"
"America","Canada","British Columbia","Present, restricted distribution","British Columbia"
"America","Canada","Manitoba","Present, no details","Manitoba"
"America","Canada","New Brunswick","Present, no details","New Brunswick"
"America","Canada","Nova Scotia","Present, no details","Nova Scotia"
"America","Canada","Ontario","Present, no details","Ontario"
"America","Canada","Prince Edward Island","Present, no details","Prince Edward Island"
"America","Canada","Québec","Present, no details","Québec"
"America","Canada","Saskatchewan","Present, no details","Saskatchewan"
"America","Cuba","","Present, no details","Cuba"
"America","Guatemala","","Present, no details","Guatemala"
"America","Mexico","","Present, widespread","Mexico"
"America","United States of America","Alabama","Present, no details","Alabama"
"America","United States of America","Arizona","Present, no details","Arizona"
"America","United States of America","Arkansas","Present, no details","Arkansas"
"America","United States of America","Colorado","Present, no details","Colorado"
"America","United States of America","Connecticut","Present, no details","Connecticut"
"America","United States of America","Delaware","Present, no details","Delaware"
"America","United States of America","Florida","Present, no details","Florida"
"America","United States of America","Georgia","Present, no details","Georgia"
"America","United States of America","Idaho","Present, no details","Idaho"
"America","United States of America","Illinois","Present, no details","Illinois"
"America","United States of America","Indiana","Present, no details","Indiana"
"America","United States of America","Iowa","Present, no details","Iowa"
"America","United States of America","Kansas","Present, no details","Kansas"
"America","United States of America","Kentucky","Present, no details","Kentucky"
"America","United States of America","Louisiana","Present, no details","Louisiana"
"America","United States of America","Maine","Present, no details","Maine"
"America","United States of America","Maryland","Present, no details","Maryland"
"America","United States of America","Massachusetts","Present, no details","Massachusetts"
"America","United States of America","Michigan","Present, no details","Michigan"
"America","United States of America","Minnesota","Present, no details","Minnesota"
"America","United States of America","Mississippi","Present, no details","Mississippi"
"America","United States of America","Missouri","Present, no details","Missouri"
"America","United States of America","Montana","Present, no details","Montana"
"America","United States of America","Nebraska","Present, no details","Nebraska"
"America","United States of America","New Hampshire","Present, no details","New Hampshire"
"America","United States of America","New Jersey","Present, no details","New Jersey"
"America","United States of America","New Mexico","Present, no details","New Mexico"
"America","United States of America","New York","Present, no details","New York"
"America","United States of America","North Carolina","Present, no details","North Carolina"
"America","United States of America","North Dakota","Present, no details","North Dakota"
"America","United States of America","Ohio","Present, no details","Ohio"
"America","United States of America","Oklahoma","Present, no details","Oklahoma"
"America","United States of America","Oregon","Present, no details","Oregon"
"America","United States of America","Pennsylvania","Present, no details","Pennsylvania"
"America","United States of America","Rhode Island","Present, no details","Rhode Island"
"America","United States of America","South Carolina","Present, no details","South Carolina"
"America","United States of America","South Dakota","Present, no details","South Dakota"
"America","United States of America","Tennessee","Present, no details","Tennessee"
"America","United States of America","Texas","Present, no details","Texas"
"America","United States of America","Utah","Present, no details","Utah"
"America","United States of America","Virginia","Present, no details","Virginia"
"America","United States of America","Washington","Present, no details","Washington"
"America","United States of America","West Virginia","Present, no details","West Virginia"
"America","United States of America","Wisconsin","Present, no details","Wisconsin"
"America","United States of America","Wyoming","Present, no details","Wyoming"
"Asia","China","Heilongjiang","Present, restricted distribution","Heilongjiang"
"Asia","China","Jilin","Present, restricted distribution","Jilin"
"Asia","China","Xinjiang","Present, no details","Xinjiang"
"Asia","Iran","","Present, no details","Iran"
"Asia","Iraq","","Present, restricted distribution","Iraq"
"Asia","Kazakhstan","","Present, restricted distribution","Kazakhstan"
"Asia","Kyrgyzstan","","Present, no details","Kyrgyzstan"
"Asia","Tajikistan","","Present, restricted distribution","Tajikistan"
"Asia","Turkmenistan","","Present, no details","Turkmenistan"
"Asia","Uzbekistan","","Present, restricted distribution","Uzbekistan"
"Europe","Albania","","Present, no details","Albania"
"Europe","Andorra","","Present, no details","Andorra"
"Europe","Armenia","","Present, no details","Armenia"
"Europe","Austria","","Present, widespread","Austria"
"Europe","Azerbaijan","","Present, no details","Azerbaijan"
"Europe","Belarus","","Present, widespread","Belarus"
"Europe","Belgium","","Present, widespread","Belgium"
"Europe","Bosnia and Herzegovina","","Present, no details","Bosnia and Herzegovina"
"Europe","Bulgaria","","Present, widespread","Bulgaria"
"Europe","Croatia","","Present, widespread","Croatia"
"Europe","Czech Republic","","Present, widespread","Czech Republic"
"Europe","Estonia","","Present, widespread","Estonia"
"Europe","France","","Present, widespread","France"
"Europe","France","Corse","Present, no details","Corse"
"Europe","Georgia","","Present, no details","Georgia"
"Europe","Germany","","Present, widespread","Germany"
"Europe","Greece","","Present, restricted distribution","Greece"
"Europe","Hungary","","Present, widespread","Hungary"
"Europe","Italy","","Present, widespread","Italy"
"Europe","Italy","Sicilia","Present, no details","Sicilia"
"Europe","Latvia","","Present, no details","Latvia"
"Europe","Lithuania","","Present, widespread","Lithuania"
"Europe","Luxembourg","","Present, restricted distribution","Luxembourg"
"Europe","Moldova","","Present, restricted distribution","Moldova"
"Europe","Netherlands","","Present, no details","Netherlands"
"Europe","North Macedonia","","Present, no details","North Macedonia"
"Europe","Poland","","Present, widespread","Poland"
"Europe","Portugal","","Present, widespread","Portugal"
"Europe","Romania","","Present, widespread","Romania"
"Europe","Russia","Central Russia","Present, no details","Central Russia"
"Europe","Russia","Eastern Siberia","Present, no details","Eastern Siberia"
"Europe","Russia","Far East","Present, no details","Far East"
"Europe","Russia","Northern Russia","Present, no details","Northern Russia"
"Europe","Russia","Southern Russia","Present, no details","Southern Russia"
