"Continent","Country","State","Status",""
"Africa","Libya","","Absent, invalid record","view..."
"America","Canada","","Present, restricted distribution","view..."
"America","Canada","Alberta","Present, no details","view..."
"America","Canada","British Columbia","Present, restricted distribution","view..."
"America","Canada","Manitoba","Present, no details","view..."
"America","Canada","New Brunswick","Present, no details","view..."
"America","Canada","Nova Scotia","Present, no details","view..."
"America","Canada","Ontario","Present, no details","view..."
"America","Canada","Prince Edward Island","Present, no details","view..."
"America","Canada","Québec","Present, no details","view..."
"America","Canada","Saskatchewan","Present, no details","view..."
"America","Costa Rica","","Absent, pest no longer present","view..."
"America","Cuba","","Present, no details","view..."
"America","Guatemala","","Present, no details","view..."
"America","Mexico","","Present, widespread","view..."
"America","United States of America","","Present, widespread","view..."
"America","United States of America","Alabama","Present, no details","view..."
"America","United States of America","Arizona","Present, no details","view..."
"America","United States of America","Arkansas","Present, no details","view..."
"America","United States of America","Colorado","Present, no details","view..."
"America","United States of America","Connecticut","Present, no details","view..."
"America","United States of America","Delaware","Present, no details","view..."
"America","United States of America","Florida","Present, no details","view..."
"America","United States of America","Georgia","Present, no details","view..."
"America","United States of America","Idaho","Present, no details","view..."
"America","United States of America","Illinois","Present, no details","view..."
"America","United States of America","Indiana","Present, no details","view..."
"America","United States of America","Iowa","Present, no details","view..."
"America","United States of America","Kansas","Present, no details","view..."
"America","United States of America","Kentucky","Present, no details","view..."
"America","United States of America","Louisiana","Present, no details","view..."
"America","United States of America","Maine","Present, no details","view..."
"America","United States of America","Maryland","Present, no details","view..."
"America","United States of America","Massachusetts","Present, no details","view..."
"America","United States of America","Michigan","Present, no details","view..."
"America","United States of America","Minnesota","Present, no details","view..."
"America","United States of America","Mississippi","Present, no details","view..."
"America","United States of America","Missouri","Present, no details","view..."
"America","United States of America","Montana","Present, no details","view..."
"America","United States of America","Nebraska","Present, no details","view..."
"America","United States of America","New Hampshire","Present, no details","view..."
"America","United States of America","New Jersey","Present, no details","view..."
