STATUS,DISP_AREA,ADM0_CODE,ADM0_NAME,STR0_YEAR,EXP0_YEAR,Shape_Leng,Shape_Area,ADM1_CODE,ADM1_NAME,STR1_YEAR,EXP1_YEAR,layer,path,EPPO_ADM
Member State,NO,"204",Russian Federation,,,38.585665700000000,19.717432700000000,"2494",Bashkortostan Rep.,"1000","3000",g2015_2014_1_Larger_subnational_regions,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_1_Larger_subnational_regions\g2015_2014_1_Larger_subnational_regions.shp|layername=g2015_2014_1_Larger_subnational_regions,Central Russia
Member State,NO,"204",Russian Federation,,,11.076625300000000,2.516858500000000,"2488",Aginskiy Buryatskiy A. Okrug,"1000","3000",g2015_2014_1_Larger_subnational_regions,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_1_Larger_subnational_regions\g2015_2014_1_Larger_subnational_regions.shp|layername=g2015_2014_1_Larger_subnational_regions,Eastern Siberia
Member State,NO,"204",Russian Federation,,,62.340311800000002,48.807412999999997,"2491",Amurskaya Oblast,"1000","3000",g2015_2014_1_Larger_subnational_regions,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_1_Larger_subnational_regions\g2015_2014_1_Larger_subnational_regions.shp|layername=g2015_2014_1_Larger_subnational_regions,Far East
Member State,NO,"204",Russian Federation,,,69.788386700000004,55.191542699999999,"2492",Arkhangelskaya Oblast,"1000","3000",g2015_2014_1_Larger_subnational_regions,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_1_Larger_subnational_regions\g2015_2014_1_Larger_subnational_regions.shp|layername=g2015_2014_1_Larger_subnational_regions,Northern Rusia
Member State,NO,"204",Russian Federation,,,9.599427700000000,0.903546500000000,"2487",Adygeya Rep.,"1000","3000",g2015_2014_1_Larger_subnational_regions,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_1_Larger_subnational_regions\g2015_2014_1_Larger_subnational_regions.shp|layername=g2015_2014_1_Larger_subnational_regions,Southern Russia
Member State,NO,"204",Russian Federation,,,23.177479999999999,11.762019199999999,"2489",Altay Rep.,"1000","3000",g2015_2014_1_Larger_subnational_regions,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_1_Larger_subnational_regions\g2015_2014_1_Larger_subnational_regions.shp|layername=g2015_2014_1_Larger_subnational_regions,Western Siberia
Member State,NO,"170",Mozambique,"1000","3000",82.563371500000002,67.058939300000006,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Mozambique
Member State,NO,"160",Mauritius,"1000","3000",5.204094200000000,0.173992100000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Mauritius
Member State,NO,"152",Malawi,"1000","3000",26.999899700000000,9.905566800000001,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Malawi
FR Territory,NO,"161",Mayotte,"1000","3000",2.404744600000000,0.031498700000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Mayotte
Member State,NO,"205",Rwanda,"1000","3000",8.127003500000001,2.063852400000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Rwanda
Member State,NO,"226",Somalia,"1000","3000",57.475198300000002,51.766611800000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Somalia
Member State,NO,"270",Zambia,"1000","3000",54.196570600000001,62.744280799999999,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Zambia
Member State,NO,"133",Kenya,"1000","3000",48.549430299999997,47.345770399999999,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Kenya
Member State,NO,"150",Madagascar,"1000","3000",130.959700199999986,50.717760300000002,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Madagascar
FR Territory,NO,"206",R?union,"1000","3000",2.316122900000000,0.217752700000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Reunion
Member State,NO,"74",South Sudan,"2011","3000",46.905430600000003,51.599166400000001,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,South Sudan
Member State,NO,"220",Seychelles,"1000","3000",7.434553400000000,0.040891800000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Seychelles
Member State,NO,"257",United Republic of Tanzania,"1000","3000",82.950600800000004,76.860265499999997,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Tanzania
Member State,NO,"253",Uganda,"1000","3000",23.244416000000001,19.629673600000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Uganda
Member State,NO,"271",Zimbabwe,"1000","3000",28.183245299999999,33.530689500000001,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Zimbabwe
Sovereignty unsettled,YES,"61013",Ilemi triangle,"1000","3000",2.838040800000000,0.259098200000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Ilemi triangle
Member State,NO,"79",Ethiopia,"1000","3000",50.380130700000002,92.869258400000007,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Ethiopia
Member State,NO,"77",Eritrea,"1000","3000",50.005782699999997,10.167957800000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Eritrea
Member State,NO,"70",Djibouti,"1000","3000",9.780575499999999,1.797112000000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Djibouti
Member State,NO,"58",Comoros,"1000","3000",4.407813700000000,0.137047800000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Comoros
Member State,NO,"43",Burundi,"1000","3000",9.118459400000001,2.185651700000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Burundi
Member State,NO,"89",Gabon,"1000","3000",48.099303100000000,21.456684400000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Gabon
Member State,NO,"76",Equatorial Guinea,"1000","3000",9.611888300000000,2.194565300000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Equatorial Guinea
Member State,NO,"50",Chad,"1000","3000",55.887665300000002,106.690200500000003,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Chad
Member State,NO,"214",Sao Tome and Principe,"1000","3000",2.673702300000000,0.080505800000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Sao Tome and Principe
Member State,NO,"59",Congo,"1000","3000",42.510457199999998,27.695788100000001,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Congo
Member State,NO,"68",Democratic Republic of the Congo,"1000","3000",98.951177400000006,189.998107299999987,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,"Congo, Democratic republic of the"
Member State,NO,"45",Cameroon,"1000","3000",53.615304600000002,38.022676699999998,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Cameroon
Member State,NO,"49",Central African Republic,"1000","3000",49.617800500000001,50.680325000000003,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Central African Republic
Member State,NO,"8",Angola,"1000","3000",75.451689500000001,103.755855199999999,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Angola
Member State,NO,"169",Morocco,"1000","3000",43.359998400000002,39.471355799999998,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Morocco
Sovereignty unsettled,YES,"40760",Hala'ib triangle,"1000","3000",8.510584600000000,1.561432000000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Hala'ib triangle
Member State,NO,"145",Libya,"1000","3000",66.497585700000002,147.646575100000007,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Libya
Sovereignty unsettled,YES,"40762",Ma'tan al-Sarra,"1000","3000",2.062628100000000,0.173918900000000,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Ma'tan al-Sarra
Member State,NO,"6",Sudan,"2011","3000",81.910242100000005,155.888801699999988,,,,,g2015_2014_0_Smaller_countries,C:\Users\maioran\Documents\Data\GIS DataBase\GAUL\g2015_2014_0_Smaller_countries\g2015_2014_0_Smaller_countries.shp|layername=g2015_2014_0_Smaller_countries,Sudan
