Continent,Country,State,Observation,admin.source,admin.code,lat,long
Asia,China,,China-Anhui,EPPO,,,
Asia,China,,China-Chongqing,EPPO,,,
Asia,China,,China-Fujian,EPPO,,,
Asia,China,,China-Guangxi,EPPO,,,
Asia,China,,China-Guizhou,EPPO,,,
Asia,China,,China-Henan,EPPO,,,
Asia,China,,China-Hubei,EPPO,,,
Asia,China,,China-Hunan,EPPO,,,
Asia,China,,China-Liaoning,EPPO,,,
Asia,China,,China-Shanxi,EPPO,,,
Asia,China,,China-Tianjin,EPPO,,,
Asia,China,,China-Yunnan,EPPO,,,
Asia,India,,Kerala,FAO.GAUL,1495,,
Asia,Iran,,Iran,EPPO,,,
Asia,Republic of Korea,,Republic of Korea,FAO.GAUL,202,,
Europe,Italy,,Sicily,FAO.GAUL,1630,,
America,Mexico,,,location,,20.79,-98.73
America,Puerto Rico,,Puerto Rico,EPPO,,,
America,Brazil,,Brazil-Alagoas,EPPO,,,
America,Brazil,,Brazil-Bahia,EPPO,,,
America,Brazil,,Brazil-Pernambuco,EPPO,,,
America,Uruguay,,Uruguay,EPPO,,,
