ADM2_CODE,ADM2_NAME,ADM1_CODE,ADM1_NAME,STATUS,DISP_AREA,ADM0_CODE,ADM0_NAME,Continent
40621,Ryansoro,40548,Gitega,Member State,NO,43,Burundi,Africa
40667,Ndava,40555,Mwaro,Member State,NO,43,Burundi,Africa
40593,Buyengero,40545,Bururi,Member State,NO,43,Burundi,Africa
40580,Bugarama,40544,Bujumbura Rural,Member State,NO,43,Burundi,Africa
40590,Administrative unit not available,40545,Bururi,Member State,NO,43,Burundi,Africa
40591,Burambi,40545,Bururi,Member State,NO,43,Burundi,Africa
40753,Kanyosha1,40544,Bujumbura Rural,Member State,NO,43,Burundi,Africa
40582,Kabezi,40544,Bujumbura Rural,Member State,NO,43,Burundi,Africa
40586,Muhuta,40544,Bujumbura Rural,Member State,NO,43,Burundi,Africa
40755,Mukike,40544,Bujumbura Rural,Member State,NO,43,Burundi,Africa
40756,Mutambu,40544,Bujumbura Rural,Member State,NO,43,Burundi,Africa
40757,Nyabiraba,40544,Bujumbura Rural,Member State,NO,43,Burundi,Africa
40592,Bururi,40545,Bururi,Member State,NO,43,Burundi,Africa
40651,Vugizo,40552,Makamba,Member State,NO,43,Burundi,Africa
40599,Vyanda,40545,Bururi,Member State,NO,43,Burundi,Africa
40669,Rusaka,40555,Mwaro,Member State,NO,43,Burundi,Africa
40595,Mugamba,40545,Bururi,Member State,NO,43,Burundi,Africa
40598,Songa,40545,Bururi,Member State,NO,43,Burundi,Africa
40754,Mugongomanga,40544,Bujumbura Rural,Member State,NO,43,Burundi,Africa
40665,Gisozi,40555,Mwaro,Member State,NO,43,Burundi,Africa
40664,Bisoro,40555,Mwaro,Member State,NO,43,Burundi,Africa
40594,Matana,40545,Bururi,Member State,NO,43,Burundi,Africa
40666,Kayokwe,40555,Mwaro,Member State,NO,43,Burundi,Africa
40561,Mpanda,40542,Bubanza,Member State,NO,43,Burundi,Africa
40609,Murwi,40547,Cibitoke,Member State,NO,43,Burundi,Africa
40559,Bubanza,40542,Bubanza,Member State,NO,43,Burundi,Africa
40637,Rango,40550,Kayanza,Member State,NO,43,Burundi,Africa
40652,Bukeye,40553,Muramvya,Member State,NO,43,Burundi,Africa
40655,Muramvya,40553,Muramvya,Member State,NO,43,Burundi,Africa
40581,Isale,40544,Bujumbura Rural,Member State,NO,43,Burundi,Africa
40563,Rugazi,40542,Bubanza,Member State,NO,43,Burundi,Africa
40584,Mubimbi,40544,Bujumbura Rural,Member State,NO,43,Burundi,Africa
40656,Rutegama,40553,Muramvya,Member State,NO,43,Burundi,Africa
40653,Kiganda,40553,Muramvya,Member State,NO,43,Burundi,Africa
40654,Mbuye,40553,Muramvya,Member State,NO,43,Burundi,Africa
40630,Gahombo,40550,Kayanza,Member State,NO,43,Burundi,Africa
40631,Gatara,40550,Kayanza,Member State,NO,43,Burundi,Africa
40629,Butaganzwa,40550,Kayanza,Member State,NO,43,Burundi,Africa
40633,Kayanza,40550,Kayanza,Member State,NO,43,Burundi,Africa
40611,Bugendana,40548,Gitega,Member State,NO,43,Burundi,Africa
40683,Musongati,40557,Rutana,Member State,NO,43,Burundi,Africa
40684,Rutana,40557,Rutana,Member State,NO,43,Burundi,Africa
40681,Gitanga,40557,Rutana,Member State,NO,43,Burundi,Africa
40649,Makamba,40552,Makamba,Member State,NO,43,Burundi,Africa
40597,Rutovu,40545,Bururi,Member State,NO,43,Burundi,Africa
40613,Buraza,40548,Gitega,Member State,NO,43,Burundi,Africa
40620,Nyanrusange,40548,Gitega,Member State,NO,43,Burundi,Africa
40615,Gishubi,40548,Gitega,Member State,NO,43,Burundi,Africa
40668,Nyabihanga,40555,Mwaro,Member State,NO,43,Burundi,Africa
40614,Giheta,40548,Gitega,Member State,NO,43,Burundi,Africa
