"Continent","ADM0_NAME","ADM0_CODE","ADM1_NAME","ADM1_CODE","ADM2_NAME","ADM2_CODE","ADM_NAME","ADM_CODE","Shape_Area"
"Africa","Burundi",43,"Gitega",40548,"Ryansoro",40621,"Ryansoro",40621,0.0133134
"Africa","Burundi",43,"Mwaro",40555,"Ndava",40667,"Ndava",40667,0.0136846
"Africa","Burundi",43,"Bururi",40545,"Buyengero",40593,"Buyengero",40593,0.0167529
"Africa","Burundi",43,"Bujumbura Rural",40544,"Bugarama",40580,"Bugarama",40580,0.0105625
"Africa","Burundi",43,"Bururi",40545,"Administrative unit not available",40590,"Administrative unit not available",40590,0.0623329
"Africa","Burundi",43,"Bururi",40545,"Burambi",40591,"Burambi",40591,0.0222362
"Africa","Burundi",43,"Bujumbura Rural",40544,"Kanyosha1",40753,"Kanyosha1",40753,0.0063983
"Africa","Burundi",43,"Bujumbura Rural",40544,"Kabezi",40582,"Kabezi",40582,0.0058455
"Africa","Burundi",43,"Bujumbura Rural",40544,"Muhuta",40586,"Muhuta",40586,0.0105434
"Africa","Burundi",43,"Bujumbura Rural",40544,"Mukike",40755,"Mukike",40755,0.0115421
"Africa","Burundi",43,"Bujumbura Rural",40544,"Mutambu",40756,"Mutambu",40756,0.0065853
"Africa","Burundi",43,"Bujumbura Rural",40544,"Nyabiraba",40757,"Nyabiraba",40757,0.0063848
"Africa","Burundi",43,"Bururi",40545,"Bururi",40592,"Bururi",40592,0.0313582
"Africa","Burundi",43,"Makamba",40552,"Vugizo",40651,"Vugizo",40651,0.0180999
"Africa","Burundi",43,"Bururi",40545,"Vyanda",40599,"Vyanda",40599,0.0180244
"Africa","Burundi",43,"Mwaro",40555,"Rusaka",40669,"Rusaka",40669,0.0131582
"Africa","Burundi",43,"Bururi",40545,"Mugamba",40595,"Mugamba",40595,0.0234635
"Africa","Burundi",43,"Bururi",40545,"Songa",40598,"Songa",40598,0.017954
"Africa","Burundi",43,"Bujumbura Rural",40544,"Mugongomanga",40754,"Mugongomanga",40754,0.009064
"Africa","Burundi",43,"Mwaro",40555,"Gisozi",40665,"Gisozi",40665,0.0095608
"Africa","Burundi",43,"Mwaro",40555,"Bisoro",40664,"Bisoro",40664,0.0100685
"Africa","Burundi",43,"Bururi",40545,"Matana",40594,"Matana",40594,0.0164877
"Africa","Burundi",43,"Mwaro",40555,"Kayokwe",40666,"Kayokwe",40666,0.0091293
"Africa","Burundi",43,"Bubanza",40542,"Mpanda",40561,"Mpanda",40561,0.0095049
"Africa","Burundi",43,"Cibitoke",40547,"Murwi",40609,"Murwi",40609,0.0202379
"Africa","Burundi",43,"Bubanza",40542,"Bubanza",40559,"Bubanza",40559,0.0179082
"Africa","Burundi",43,"Kayanza",40550,"Rango",40637,"Rango",40637,0.014141
"Africa","Burundi",43,"Muramvya",40553,"Bukeye",40652,"Bukeye",40652,0.0139837
"Africa","Burundi",43,"Muramvya",40553,"Muramvya",40655,"Muramvya",40655,0.0155355
"Africa","Burundi",43,"Bujumbura Rural",40544,"Isale",40581,"Isale",40581,0.0087929
"Africa","Burundi",43,"Bubanza",40542,"Rugazi",40563,"Rugazi",40563,0.0123345
"Africa","Burundi",43,"Bujumbura Rural",40544,"Mubimbi",40584,"Mubimbi",40584,0.0056428
"Africa","Burundi",43,"Muramvya",40553,"Rutegama",40656,"Rutegama",40656,0.0064344
