Continent,Country,State,Status
Africa,Angola,"","Present, no details"
America,Anguilla,"","Present, no details"
America,Antigua and Barbuda,"","Present, no details"
America,Argentina,"","Present, no details"
Oceania,Australia,New South Wales,"Present, restricted distribution"
Oceania,Australia,Northern Territory,"Present, no details"
Oceania,Australia,Queensland,"Present, restricted distribution"
Oceania,Australia,Tasmania,"Present, no details"
Oceania,Australia,Victoria,"Present, no details"
Oceania,Australia,Western Australia,"Present, restricted distribution"
America,Bahamas,"","Present, no details"
Asia,Bangladesh,"","Present, no details"
America,Barbados,"","Present, no details"
America,Belize,"","Present, no details"
Africa,Benin,"","Present, no details"
America,Bermuda,"","Present, no details"
Asia,Bhutan,"","Present, no details"
America,Bolivia,"","Present, no details"
Africa,Botswana,"","Present, no details"
America,Brazil,Amapa,"Present, no details"
America,Brazil,Amazonas,"Present, no details"
America,Brazil,Bahia,"Present, no details"
America,Brazil,Ceara,"Present, no details"
America,Brazil,Espirito Santo,"Present, no details"
America,Brazil,Goias,"Present, no details"
America,Brazil,Maranhao,"Present, no details"
America,Brazil,Mato Grosso,"Present, no details"
America,Brazil,Mato Grosso do Sul,"Present, no details"
America,Brazil,Minas Gerais,"Present, no details"
America,Brazil,Para,"Present, no details"
America,Brazil,Paraiba,"Present, no details"
America,Brazil,Parana,"Present, no details"
America,Brazil,Pernambuco,"Present, no details"
America,Brazil,Rio de Janeiro,"Present, no details"
America,Brazil,Rio Grande do Sul,"Present, no details"
America,Brazil,Roraima,"Present, no details"
America,Brazil,Santa Catarina,"Present, no details"
America,Brazil,Sao Paulo,"Present, no details"
America,Brazil,Tocantins,"Present, no details"
Asia,Brunei Darussalam,"","Present, no details"
Africa,Burkina Faso,"","Present, no details"
Africa,Burundi,"","Present, no details"
Asia,Cambodia,"","Present, no details"
Africa,Cameroon,"","Present, restricted distribution"
America,Canada,Manitoba,"Present, no details"
America,Canada,New Brunswick,"Present, no details"
America,Canada,Nova Scotia,"Present, no details"
America,Canada,Ontario,"Present, no details"
America,Canada,Prince Edward Island,"Present, no details"
America,Canada,Québec,"Present, no details"
Africa,Cape Verde,"","Present, no details"
America,Cayman Islands,"","Present, no details"
Africa,Central African Republic,"","Present, no details"
Africa,Chad,"","Present, no details"
America,Chile,"","Present, restricted distribution"
Asia,China,Anhui,"Present, no details"
Asia,China,Aomen (Macau),"Present, no details"
Asia,China,Beijing,"Present, no details"
Asia,China,Chongqing,"Present, no details"
Asia,China,Fujian,"Present, no details"
Asia,China,Gansu,"Present, no details"
Asia,China,Guangdong,"Present, no details"
Asia,China,Guangxi,"Present, no details"
Asia,China,Guizhou,"Present, no details"
Asia,China,Hainan,"Present, no details"
Asia,China,Hebei,"Present, no details"
Asia,China,Henan,"Present, no details"
Asia,China,Hubei,"Present, no details"
Asia,China,Hunan,"Present, no details"
Asia,China,Jiangsu,"Present, no details"
Asia,China,Jiangxi,"Present, no details"
